fold,original_ACC,original_AUC,original_F1,original_Precision,original_Recall,original_SPE,original_bec_centroid_distance,original_bec_fisher_ratio,original_bec_within_dispersion,original_edge_abs_d_change,original_edges_abs_d_gt_0p5,original_max_abs_d,original_mean_abs_d,original_paired_auc_delta_mean,original_variance_retention,qc_refined_ACC,qc_refined_AUC,qc_refined_F1,qc_refined_Precision,qc_refined_Recall,qc_refined_SPE,qc_refined_bec_centroid_distance,qc_refined_bec_fisher_ratio,qc_refined_bec_within_dispersion,qc_refined_edge_abs_d_change,qc_refined_edges_abs_d_gt_0p5,qc_refined_gate_loss,qc_refined_max_abs_d,qc_refined_mean_abs_d,qc_refined_paired_auc_delta_mean,qc_refined_pseudo_loss,qc_refined_qsr_basis_abs_mean,qc_refined_qsr_direction_abs_mean,qc_refined_qsr_effective_coefficient_abs_mean,qc_refined_qsr_effective_coefficient_mean,qc_refined_qsr_gate_max,qc_refined_qsr_gate_mean,qc_refined_qsr_loss,qc_refined_qsr_pseudo_relative_change,qc_refined_qsr_refined_relative_change,qc_refined_qsr_sensitive_map_mean,qc_refined_restore_loss,qc_refined_variance_loss,qc_refined_variance_retention,refined_ACC,refined_AUC,refined_F1,refined_Precision,refined_Recall,refined_SPE,refined_anchor_loss,refined_bec_centroid_distance,refined_bec_fisher_ratio,refined_bec_within_dispersion,refined_edge_abs_d_change,refined_edges_abs_d_gt_0p5,refined_gate_fraction_above_0p01,refined_gate_loss,refined_gate_max,refined_gate_mean,refined_max_abs_d,refined_mean_abs_d,refined_paired_auc_delta_mean,refined_refiner_loss,refined_variance_loss,refined_variance_retention
1,0.6136363636363636,0.7052413077322262,0.6382978723404256,0.6382978723404256,0.6382978723404256,0.5853658536585366,20.099050737441186,0.05368369914737071,86.74697307905538,0.0,258,0.8725537786943359,0.18316876273002822,0.0,1.0,0.6704545454545454,0.6683964711987546,0.7128712871287128,0.6666666666666666,0.7659574468085106,0.5609756097560976,20.06615975163896,0.053677279150502744,86.61019543335408,-1.1518597602844238e-05,259,0.20746701955795288,0.8717977054568181,0.1831572429036306,-0.03684483653347159,0.00013853017298970371,0.08193488419055939,0.009195688180625439,0.0019940484780818224,0.0018269718857482076,0.22733907401561737,0.21459811925888062,0.0015232651494443417,0.013852471485733986,0.0022170022130012512,0.3140984773635864,0.0011772679863497615,0.0,0.9968564510345459,0.6363636363636364,0.6704722366372601,0.6363636363636364,0.6829268292682927,0.5957446808510638,0.6829268292682927,2.5147441192530096e-05,20.008666954411495,0.05369704458512321,86.3461471605439,1.5810132026672363e-05,259,0.5823277235031128,0.011506355367600918,0.024724198505282402,0.011487017385661602,0.8713484399634868,0.18318457242630307,-0.034769071094966075,3.665379699668847e-05,0.0,0.9909964203834534
2,0.5287356321839081,0.4856839872746553,0.6666666666666666,0.5324675324675324,0.8913043478260869,0.12195121951219512,20.106178054400452,0.054846581709555274,85.85285488935763,0.0,298,0.9193600837006747,0.18379221982359528,0.0,1.0,0.5172413793103449,0.4692470837751856,0.676923076923077,0.5238095238095238,0.9565217391304348,0.024390243902439025,20.080189674266798,0.05484676398484127,85.74174270980575,-4.455447196960449e-06,298,0.0058665587566792965,0.9195519473413455,0.18378777489372444,-0.01643690349946969,0.0001270290813408792,0.08237859606742859,0.028944581747055054,0.0015085026388987899,0.0015078269643709064,0.06779486685991287,0.05070789158344269,0.0012656805338338017,0.013192455284297466,0.0014263197081163526,0.2982151508331299,0.0011327849933877587,0.0,0.9974647164344788,0.5057471264367817,0.5275715800636267,0.6717557251908397,0.5176470588235295,0.9565217391304348,0.0,1.240332221641438e-05,20.040201949390404,0.05483889539126115,85.57713533730944,-2.802908420562744e-05,298,0.49048498272895813,0.010862472467124462,0.03398216515779495,0.010850201360881329,0.9212241454693758,0.1837642068329501,0.04188759278897142,2.32657948799897e-05,0.0,0.9937579035758972
3,0.5862068965517241,0.7094379639448568,0.47058823529411764,0.7272727272727273,0.34782608695652173,0.8536585365853658,23.382653384245994,0.06809120848765532,89.6083067298508,0.0,466,1.0082730410886735,0.20318696895694172,0.0,1.0,0.7011494252873564,0.7863202545068929,0.7111111111111111,0.7272727272727273,0.6956521739130435,0.7073170731707317,23.382653385466895,0.06809120848858691,89.6083067339166,0.0,466,7.888806968781026e-11,1.0082730410886735,0.2031869689607024,0.0768822905620361,0.00013865172513760626,0.08349323272705078,0.9888889193534851,1.8786576738705207e-09,-1.8786576738705207e-09,1.574356076616823e-07,1.8786578959151257e-09,0.0013248446630313993,0.013880396261811256,7.469246887659153e-10,0.31454047560691833,0.0011861929669976234,0.0,1.0,0.7126436781609196,0.7211028632025452,0.7368421052631579,0.7142857142857143,0.7608695652173914,0.6585365853658537,1.3939528798800893e-05,23.31925690682686,0.0680957839540743,89.36235286567756,-2.981722354888916e-05,465,0.5192994475364685,0.012757094576954842,0.03665512055158615,0.012739855796098709,1.0080401022187166,0.20315716605582734,0.011664899257688432,2.6696623535826802e-05,0.0,0.9947451949119568
4,0.7011494252873564,0.7031914893617021,0.7291666666666666,0.7142857142857143,0.7446808510638298,0.65,20.363036686434214,0.053827187587744636,87.76911094405042,0.0,263,0.9461023163458963,0.18376807656845345,0.0,1.0,0.6436781609195402,0.7122340425531914,0.651685393258427,0.6904761904761905,0.6170212765957447,0.675,20.353147751703062,0.053831182129437646,87.72323255606801,1.0281801223754883e-05,262,0.005772893317043781,0.9461441500119954,0.1837783605476816,0.009042553191489389,0.00013768125791102648,0.08350939303636551,0.027725789695978165,0.0005236892611719668,0.0005201905150897801,0.03820479288697243,0.021010400727391243,0.0013281172141432762,0.013772061094641685,0.0005524198641069233,0.30871057510375977,0.0011846630368381739,0.0,0.998919665813446,0.6896551724137931,0.7053191489361702,0.7378640776699029,0.6785714285714286,0.8085106382978723,0.55,1.1029591405531392e-05,20.326304147543333,0.05385487080832122,87.58826537888615,3.5896897315979004e-05,263,0.46764370799064636,0.0127341840416193,0.041996151208877563,0.012718782760202885,0.9467238426147853,0.18380398780039836,0.0021276595744681437,2.376377597101964e-05,0.0,0.9961225986480713
5,0.6436781609195402,0.7159574468085107,0.6868686868686869,0.6538461538461539,0.723404255319149,0.55,20.509382983863247,0.054266865576320454,88.04105258074446,0.0,269,0.935776553574053,0.1835434705953589,0.0,1.0,0.6436781609195402,0.7159574468085107,0.6868686868686869,0.6538461538461539,0.723404255319149,0.55,20.509382983863247,0.054266865576320454,88.04105258074446,0.0,269,1.1469748374904233e-34,0.935776553574053,0.1835434705953589,0.0,0.00013904306979384273,0.08344453573226929,0.9888889193534851,2.8931728435806334e-34,2.8931728435806334e-34,1.9314192208869317e-30,2.8931728435806334e-34,0.0013122676173225045,0.013805150985717773,0.0,0.3176257312297821,0.0011732245329767466,0.0,0.9999998807907104,0.6781609195402298,0.6904255319148935,0.6216216216216216,0.8518518518518519,0.48936170212765956,0.9,1.9942102881032042e-05,20.451261019400285,0.054305575576170766,87.76025593814944,6.189942359924316e-05,274,0.540147066116333,0.01374735776335001,0.04771949350833893,0.013727576471865177,0.9353907672781556,0.18360536524539,-0.02553191489361717,3.368945908732712e-05,0.0,0.9938198328018188
6,0.6551724137931034,0.6462765957446809,0.7222222222222222,0.639344262295082,0.8297872340425532,0.45,19.28700877750102,0.05144817642062587,85.03150879030738,0.0,204,0.8260533916733468,0.17952785936375576,0.0,1.0,0.6551724137931034,0.6505319148936171,0.7169811320754716,0.6440677966101694,0.8085106382978723,0.475,19.268219518835554,0.051441739009051364,84.95398680077261,-1.6242265701293945e-06,205,0.2541769742965698,0.8262534623790451,0.17952624491695632,0.004255319148936176,0.00013331658556126058,0.08141440898180008,0.004761246033012867,0.0012249993160367012,0.0009133058483712375,0.2612961530685425,0.25482338666915894,0.0015413535293191671,0.013451462611556053,0.0015547788934782147,0.2962965965270996,0.0011538598919287324,0.0,0.9980942010879517,0.632183908045977,0.6606382978723404,0.7090909090909091,0.6190476190476191,0.8297872340425532,0.4,4.530861588136759e-06,19.252929034153016,0.05145524533252204,84.87542919689932,8.83638858795166e-06,205,0.30826807022094727,0.007193766999989748,0.020470645278692245,0.00718634482473135,0.8258616639055089,0.17953670045417208,0.014361702127659526,1.1724629075615667e-05,0.0,0.9964560866355896
7,0.6666666666666666,0.7702127659574467,0.7289719626168224,0.65,0.8297872340425532,0.475,21.18252363775323,0.057778413473069064,88.12414035005182,0.0,281,0.9466656025162838,0.18888428220720027,0.0,1.0,0.6666666666666666,0.7702127659574467,0.7289719626168224,0.65,0.8297872340425532,0.475,21.18252363775323,0.057778413473069064,88.12414035005182,0.0,281,4.1054997323891964e-23,0.9466656025162838,0.18888428220720027,0.0,0.0001335340057266876,0.08078857511281967,0.9677992463111877,1.3138417830353862e-14,1.3138417830353862e-14,2.529390976183099e-12,1.3573210853607808e-14,0.0012792922789230943,0.013460980728268623,3.07300725340141e-19,0.34027326107025146,0.0011457583168521523,0.0,1.0000001192092896,0.6666666666666666,0.7558510638297872,0.7128712871287128,0.6666666666666666,0.7659574468085106,0.55,2.7799353119917214e-05,21.101733145476167,0.05781109767830929,87.76321391142227,1.2010335922241211e-05,280,0.6243816614151001,0.01850329339504242,0.05621616169810295,0.01846335269510746,0.9465127496818821,0.18889629872666247,-0.014361702127659526,4.630264811567031e-05,0.0,0.9920726418495178
8,0.6666666666666666,0.7015957446808511,0.7070707070707071,0.6730769230769231,0.7446808510638298,0.575,21.111505471459832,0.057001940724173174,88.42486044358714,0.0,281,0.9199137326836796,0.1882430728411474,0.0,1.0,0.6666666666666666,0.7015957446808511,0.7070707070707071,0.6730769230769231,0.7446808510638298,0.575,21.111505471459832,0.057001940724173174,88.42486044358714,-1.4901161193847656e-08,281,3.66946056873374e-12,0.9199137326836796,0.1882430728411475,0.0,0.00013392145046964288,0.07933740317821503,0.988875150680542,3.891022053170712e-12,3.891022053170712e-12,8.551521990529665e-11,3.891102717812345e-12,0.0012813715729862452,0.013433495536446571,9.175226056083296e-15,0.29076406359672546,0.0011474500643089414,0.0,1.0,0.632183908045977,0.6664893617021277,0.6666666666666666,0.6530612244897959,0.6808510638297872,0.575,2.4841185222612694e-05,21.057049061231638,0.057014040027858384,88.18741263496334,-1.749396324157715e-05,280,0.5511465668678284,0.01893647201359272,0.06497689336538315,0.018896566703915596,0.920285624041918,0.18822557470684473,-0.03510638297872337,4.3777657992905006e-05,0.0,0.9950056076049805
9,0.5747126436781609,0.652659574468085,0.6407766990291263,0.5892857142857143,0.7021276595744681,0.425,20.60859107951799,0.055323920209946684,87.61769600922003,0.0,262,0.981755460142207,0.18497469160478347,0.0,1.0,0.6781609195402298,0.751063829787234,0.7254901960784313,0.6727272727272727,0.7872340425531915,0.55,20.60859107951781,0.05532392020994558,87.61769600922014,0.0,262,3.70819347450535e-11,0.981755460142207,0.18497469160478155,0.09840425531914898,0.00012941395107191056,0.08050869405269623,0.9888889193534851,3.8852292910673825e-11,-3.8852292910673825e-11,7.200780860472378e-09,3.8852292910673825e-11,0.0012702118838205934,0.013302491046488285,1.6660541219196134e-12,0.2953520119190216,0.0011407979764044285,0.0,1.0,0.6896551724137931,0.7414893617021276,0.7157894736842105,0.7083333333333334,0.723404255319149,0.65,2.8289437977946363e-05,20.52309118639062,0.05533409755113206,87.24616759286548,1.0609626770019531e-05,263,0.5768823027610779,0.015585818327963352,0.05555877089500427,0.015559783205389977,0.9805589160511097,0.18498529409947356,0.08882978723404267,4.387525768834166e-05,0.0,0.9918091297149658
10,0.5632183908045977,0.6058510638297873,0.5777777777777777,0.6046511627906976,0.5531914893617021,0.575,21.65693408093774,0.05969790786843121,88.63748378402744,0.0,320,0.9423226844407011,0.19309549805209844,0.0,1.0,0.5402298850574713,0.5952127659574469,0.5652173913043478,0.5777777777777777,0.5531914893617021,0.525,21.59433895441548,0.059700823426201845,88.3791363695224,1.7449259757995605e-05,321,0.25125962495803833,0.9425336775649554,0.19311294285527963,-0.010638297872340385,0.00013854916323907673,0.08198325335979462,0.011704977601766586,0.0030196597799658775,0.0029399306513369083,0.26272591948509216,0.25559982657432556,0.0015732606407254934,0.013692433014512062,0.0034019718877971172,0.2943197190761566,0.0011834518518298864,0.0,0.994026780128479,0.5402298850574713,0.6000000000000001,0.5652173913043478,0.5777777777777777,0.5531914893617021,0.525,1.8125796486856416e-05,21.59789421653983,0.05974786053023351,88.35888572815671,6.254017353057861e-05,322,0.544725239276886,0.013383038341999054,0.037836965173482895,0.013361696153879166,0.9416935598070367,0.19315804119575722,-0.005851063829787173,3.1508836400462314e-05,0.0,0.99407559633255
